,AT,BE,BG,CH,CZ,EE,ES,FI,FR,GB,GR,HR,HU,LT,LV,NL,PL,PT,RO,RS,SI,SK
2019-01-01 00:00:00,33.48,69.49,,50.26,8.5,,66.88,,51.0,60.12,,51.0,59.9,,,68.92,100.63,66.88,,69.51,51.0,8.5
2019-01-01 01:00:00,39.76,66.58,47.94,48.74,3.97,28.32,66.88,28.32,46.27,55.76,74.12,46.27,52.71,28.32,28.32,64.98,43.16,66.0,279.0,51.08,46.27,3.97
2019-01-01 02:00:00,39.78,65.07,47.92,47.24,4.7,10.07,66.0,10.07,39.78,46.23,67.87,39.78,36.49,10.07,10.07,60.27,43.11,63.64,245.54,34.03,39.78,4.7
2019-01-01 03:00:00,27.87,52.17,47.1,36.29,0.93,10.03,63.64,10.03,27.87,44.1,68.02,27.87,31.24,10.03,10.03,49.97,33.54,58.85,169.98,28.49,27.87,0.93
2019-01-01 04:00:00,-0.36,47.66,47.06,30.09,3.9,4.56,58.85,4.56,23.21,44.41,70.0,-0.36,25.98,4.56,4.56,47.66,29.84,55.47,145.52,26.95,-0.36,3.9
2019-01-01 05:00:00,-4.45,50.87,44.08,27.31,7.95,4.83,55.47,4.83,22.64,46.03,70.0,-4.45,26.69,4.83,4.83,48.0,34.65,56.0,121.0,30.9,-4.45,7.95
2019-01-01 06:00:00,-8.99,52.88,47.02,28.53,11.7,8.09,56.0,8.09,20.9,51.0,64.83,-8.99,27.99,8.09,8.09,49.75,37.86,61.09,124.33,31.94,-8.99,11.7
2019-01-01 07:00:00,-6.05,61.78,44.08,26.84,5.01,25.54,61.09,25.54,26.54,39.0,60.0,-6.05,28.49,25.54,25.54,55.12,32.46,61.01,130.37,44.93,-6.05,5.01
2019-01-01 08:00:00,1.53,50.08,44.1,28.7,1.01,39.16,61.01,39.16,25.0,44.17,64.83,1.53,33.98,39.16,39.16,44.8,29.93,61.0,132.69,40.32,1.53,1.01
2019-01-01 09:00:00,0.41,50.27,47.92,35.7,0.11,37.66,61.0,37.66,25.0,51.3,64.19,0.41,41.24,37.66,37.66,49.58,35.23,63.0,158.28,45.03,0.41,0.11
2019-01-01 10:00:00,14.34,66.36,47.98,37.53,14.8,21.52,63.0,21.52,34.64,57.94,70.3,14.34,41.0,21.52,21.52,55.44,48.89,63.0,192.12,49.97,14.34,14.8
2019-01-01 11:00:00,9.2,75.08,47.96,38.36,15.5,28.25,63.0,28.25,41.03,54.09,70.34,41.03,45.16,28.25,28.25,62.62,50.0,64.03,190.96,52.01,41.03,15.5
2019-01-01 12:00:00,10.68,90.66,47.92,43.95,16.5,19.29,64.03,19.29,48.97,57.95,70.34,48.97,44.07,19.29,19.29,57.4,40.96,65.88,210.36,52.0,48.97,16.5
2019-01-01 13:00:00,8.85,75.71,47.92,43.07,16.0,19.32,65.88,19.32,41.06,65.85,67.67,41.06,41.16,19.32,19.32,50.76,49.76,65.01,205.27,46.91,41.06,16.0
2019-01-01 14:00:00,20.49,68.3,47.92,38.82,19.53,16.21,65.01,16.21,37.95,70.0,70.36,37.95,42.83,16.21,16.21,49.92,49.9,60.84,191.75,40.57,37.95,19.53
2019-01-01 15:00:00,18.78,61.83,48.0,48.02,5.0,21.47,60.84,21.47,33.42,48.9,64.51,53.59,54.91,21.47,21.47,50.05,50.3,61.09,199.5,52.08,53.59,5.0
2019-01-01 16:00:00,21.75,72.12,90.07,48.93,20.0,32.69,61.09,32.69,39.8,69.93,64.89,58.65,72.02,32.69,32.69,50.6,125.7,63.08,255.79,69.57,58.65,20.0
2019-01-01 17:00:00,40.1,62.58,189.75,50.99,16.74,29.34,63.08,29.34,44.29,84.84,65.22,64.64,73.8,29.34,29.34,60.72,129.38,66.66,335.46,69.58,64.64,16.74
2019-01-01 18:00:00,40.0,56.94,193.04,52.79,22.14,30.19,66.66,30.19,62.65,70.57,66.0,65.0,72.02,30.19,30.19,50.51,128.94,67.06,343.78,70.02,65.0,22.14
2019-01-01 19:00:00,25.07,57.89,189.77,55.17,23.27,30.09,67.06,30.09,65.56,69.0,67.79,65.56,70.63,30.09,30.09,47.35,126.74,67.26,335.46,70.02,65.56,23.27
2019-01-01 20:00:00,32.63,51.3,187.09,55.05,23.0,29.58,67.26,29.58,61.27,60.43,68.29,64.23,68.38,29.58,29.58,50.4,121.92,68.07,329.0,70.07,64.23,23.0
2019-01-01 21:00:00,0.02,51.89,163.23,50.7,20.0,36.91,68.07,36.91,57.41,53.89,68.25,61.72,53.12,36.91,36.91,47.53,85.45,67.08,318.54,71.32,61.72,20.0
2019-01-01 22:00:00,1.76,60.88,140.02,55.12,18.0,33.14,67.08,33.14,58.65,50.44,67.94,58.65,36.86,33.14,33.14,51.06,52.98,64.03,247.44,70.09,58.65,18.0
2019-01-01 23:00:00,-4.95,60.74,100.06,55.11,-0.99,21.61,64.03,21.61,54.91,49.01,68.0,54.91,23.95,21.61,21.61,47.55,5.93,61.74,171.72,69.56,54.91,-0.99
2019-01-02 00:00:00,-4.98,65.96,90.09,49.97,1.0,4.04,61.74,4.04,53.11,51.96,64.9,53.11,23.99,4.04,4.04,49.0,19.85,54.87,111.56,90.08,53.11,1.0
2019-01-02 01:00:00,-16.4,57.9,44.08,48.66,-2.0,9.7,53.0,9.7,45.87,52.45,48.45,45.87,17.16,9.7,9.7,46.6,9.23,54.42,111.88,53.09,45.87,-2.0
2019-01-02 02:00:00,-16.45,56.48,44.03,41.56,-3.48,6.32,48.23,6.32,39.15,49.92,45.45,19.2,15.39,2.15,6.32,46.6,5.01,52.99,80.01,35.01,19.2,-3.48
2019-01-02 03:00:00,-16.49,46.68,19.71,43.07,-7.0,4.35,47.23,4.35,25.84,48.53,31.5,1.3,7.92,1.17,4.35,45.73,9.88,51.1,71.77,28.05,1.3,-7.0
2019-01-02 04:00:00,-16.45,50.8,19.62,38.6,-7.85,8.81,45.24,8.81,28.36,47.99,37.28,0.01,8.91,8.81,8.81,46.01,9.93,51.09,36.93,25.46,0.01,-7.85
2019-01-02 05:00:00,0.71,45.28,30.9,49.21,10.75,22.67,45.7,22.67,30.72,50.05,42.95,39.0,22.04,22.67,22.67,46.45,26.41,51.1,41.55,31.0,39.0,10.75
2019-01-02 06:00:00,11.49,55.3,59.65,52.54,33.4,43.28,51.1,43.28,51.1,62.82,64.21,53.1,33.4,43.28,43.28,47.86,189.24,58.37,102.8,36.99,53.1,33.4
2019-01-02 07:00:00,41.8,56.86,100.8,54.99,49.1,44.64,58.37,44.64,58.37,50.04,70.49,65.41,49.1,44.64,44.64,49.5,213.27,63.75,155.77,50.97,65.41,49.1
2019-01-02 08:00:00,49.89,55.99,225.96,60.04,46.25,49.64,63.75,49.64,56.82,53.0,75.14,50.55,54.1,49.64,49.64,52.42,214.63,66.1,229.0,63.82,50.55,46.25
2019-01-02 09:00:00,52.04,55.33,248.59,64.83,49.97,49.96,66.1,49.96,57.44,56.37,75.02,52.93,56.92,49.96,49.96,52.42,217.98,65.88,252.34,65.08,52.93,49.97
2019-01-02 10:00:00,50.91,53.47,231.04,64.8,45.5,50.74,65.88,50.74,61.09,58.71,74.51,54.0,56.87,50.74,50.74,52.36,214.77,63.63,252.34,67.05,54.0,45.5
2019-01-02 11:00:00,48.78,53.22,235.54,64.29,46.3,49.99,63.63,49.99,63.63,57.95,70.44,64.0,60.07,49.99,49.99,51.94,215.88,62.8,218.74,67.07,64.0,46.3
