cluster,39,39,39,39
opt,,,,
planning_horizon,2020,2030,2040,2050
co2_shadow,-0.0,-1.766787783668522e-06,-443.9100203733304,-1.0341198941112015
co2_storage_shadow,0.0,0.0,473.10175748341675,68.97808789216118
line_volume,146762503.50407863,161891756.7993027,234850160.31978697,236275914.97387877
line_volume_AC,127791362.92449781,129181354.49428542,142765410.72912562,142774033.0622091
line_volume_DC,18971140.57958082,32710402.305017274,92084749.59066135,93501881.91166967
line_volume_limit,,,,
line_volume_shadow,,,,
total costs,895042891137.876,690960612955.2065,713459301200.5269,594092833277.9121
